PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2022-09-01 00:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.27,
2022-09-01 01:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.284,
2022-09-01 02:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.359,
2022-09-01 03:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.434,
2022-09-01 04:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.393,
2022-09-01 05:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.238,
2022-09-01 06:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.763,
2022-09-01 07:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,1.093,
2022-09-01 08:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.324,
2022-09-01 09:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.566,
2022-09-01 10:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.386,
2022-09-01 11:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,1.16,
2022-09-01 12:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.384,
2022-09-01 13:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.255,
2022-09-01 14:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,1.2,
2022-09-01 15:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.272,
2022-09-01 16:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.306,
2022-09-01 17:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.314,
2022-09-01 18:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.277,
2022-09-01 19:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.348,
2022-09-01 20:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.281,
2022-09-01 21:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.302,
2022-09-01 22:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,3.044,
2022-09-01 23:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.286,
2022-09-02 00:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.322,
2022-09-02 01:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.317,
2022-09-02 02:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.259,
2022-09-02 03:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.376,
2022-09-02 04:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.239,
2022-09-02 05:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.354,
2022-09-02 06:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.287,
2022-09-02 07:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.273,
2022-09-02 08:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.374,
2022-09-02 09:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.239,
2022-09-02 10:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.355,
2022-09-02 11:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.265,
2022-09-02 12:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.29,
2022-09-02 13:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.326,
2022-09-02 14:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.282,
2022-09-02 15:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.28,
2022-09-02 16:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.316,
2022-09-02 17:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.246,
2022-09-02 18:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.374,
2022-09-02 19:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.254,
2022-09-02 20:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.323,
2022-09-02 21:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.327,
2022-09-02 22:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.252,
2022-09-02 23:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.392,
2022-09-03 00:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.261,
2022-09-03 01:00,Klaipėdos regiono tinklas,NAMAS,Ne GV,1,0.577,
