PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2022-09-01 00:00,Vilniaus regiono tinklas,NAMAS,G,526,0.361,0.0
2022-09-01 01:00,Vilniaus regiono tinklas,NAMAS,G,526,0.354,0.0
2022-09-01 02:00,Vilniaus regiono tinklas,NAMAS,G,526,0.347,0.0
2022-09-01 03:00,Vilniaus regiono tinklas,NAMAS,G,526,0.2,0.017
2022-09-01 04:00,Vilniaus regiono tinklas,NAMAS,G,526,0.003,2.314
2022-09-01 05:00,Vilniaus regiono tinklas,NAMAS,G,526,0.053,3.796
2022-09-01 06:00,Vilniaus regiono tinklas,NAMAS,G,526,0.003,5.978
2022-09-01 07:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,8.804
2022-09-01 08:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,10.616
2022-09-01 09:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,7.519
2022-09-01 10:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,7.288
2022-09-01 11:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,8.475
2022-09-01 12:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,5.544
2022-09-01 13:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,4.468
2022-09-01 14:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,2.446
2022-09-01 15:00,Vilniaus regiono tinklas,NAMAS,G,526,0.193,1.463
2022-09-01 16:00,Vilniaus regiono tinklas,NAMAS,G,526,0.902,0.106
2022-09-01 17:00,Vilniaus regiono tinklas,NAMAS,G,526,1.013,0.0
2022-09-01 18:00,Vilniaus regiono tinklas,NAMAS,G,526,0.519,0.0
2022-09-01 19:00,Vilniaus regiono tinklas,NAMAS,G,526,2.046,0.0
2022-09-01 20:00,Vilniaus regiono tinklas,NAMAS,G,526,1.439,0.0
2022-09-01 21:00,Vilniaus regiono tinklas,NAMAS,G,526,1.729,0.0
2022-09-01 22:00,Vilniaus regiono tinklas,NAMAS,G,526,0.394,0.0
2022-09-01 23:00,Vilniaus regiono tinklas,NAMAS,G,526,0.371,0.0
2022-09-02 00:00,Vilniaus regiono tinklas,NAMAS,G,526,0.354,0.0
2022-09-02 01:00,Vilniaus regiono tinklas,NAMAS,G,526,0.36,0.0
2022-09-02 02:00,Vilniaus regiono tinklas,NAMAS,G,526,0.363,0.0
2022-09-02 03:00,Vilniaus regiono tinklas,NAMAS,G,526,0.208,0.016
2022-09-02 04:00,Vilniaus regiono tinklas,NAMAS,G,526,0.008,2.413
2022-09-02 05:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,4.737
2022-09-02 06:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,8.387
2022-09-02 07:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,10.051
2022-09-02 08:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,9.92
2022-09-02 09:00,Vilniaus regiono tinklas,NAMAS,G,526,0.002,12.087
2022-09-02 10:00,Vilniaus regiono tinklas,NAMAS,G,526,0.007,11.14
2022-09-02 11:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,10.76
2022-09-02 12:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,5.652
2022-09-02 13:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,3.705
2022-09-02 14:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,1.669
2022-09-02 15:00,Vilniaus regiono tinklas,NAMAS,G,526,0.005,0.928
2022-09-02 16:00,Vilniaus regiono tinklas,NAMAS,G,526,0.107,0.112
2022-09-02 17:00,Vilniaus regiono tinklas,NAMAS,G,526,0.789,0.0
2022-09-02 18:00,Vilniaus regiono tinklas,NAMAS,G,526,1.144,0.0
2022-09-02 19:00,Vilniaus regiono tinklas,NAMAS,G,526,1.388,0.0
2022-09-02 20:00,Vilniaus regiono tinklas,NAMAS,G,526,0.845,0.0
2022-09-02 21:00,Vilniaus regiono tinklas,NAMAS,G,526,0.623,0.0
2022-09-02 22:00,Vilniaus regiono tinklas,NAMAS,G,526,0.942,0.0
2022-09-02 23:00,Vilniaus regiono tinklas,NAMAS,G,526,0.364,0.0
2022-09-03 00:00,Vilniaus regiono tinklas,NAMAS,G,526,0.354,0.0
2022-09-03 01:00,Vilniaus regiono tinklas,NAMAS,G,526,0.352,0.0
2022-09-03 02:00,Vilniaus regiono tinklas,NAMAS,G,526,0.352,0.0
2022-09-03 03:00,Vilniaus regiono tinklas,NAMAS,G,526,0.207,0.016
2022-09-03 04:00,Vilniaus regiono tinklas,NAMAS,G,526,0.002,2.095
2022-09-03 05:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,4.223
2022-09-03 06:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,8.346
2022-09-03 07:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,7.42
2022-09-03 08:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,10.789
2022-09-03 09:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,9.518
2022-09-03 10:00,Vilniaus regiono tinklas,NAMAS,G,526,0.0,11.065
