timestamp,price,load,gen_ren,P_ch,P_dis,SoC,P_grid_buy,P_grid_sell,P_ren_load,P_ren_ch,P_ren_grid
2022-09-01T01:00:00.000,309.99,0,0,0,0,5,0,0,0,0,0
2022-09-01T02:00:00.000,309.93,0,0,0,0,5,0,0,0,0,0
2022-09-01T03:00:00.000,309.91,0,0,0,0,5,0,0,0,0,0
2022-09-01T04:00:00.000,176.93,0,0,0,0,5,0,0,0,0,0
2022-09-01T05:00:00.000,309.97,0,1.33,0,0,5,0,1.33,0,0,1.33
2022-09-01T06:00:00.000,532.8,0,17.49,0,0,5,0,10,0,0,17.49
2022-09-01T07:00:00.000,646.7,0,53.05,0,0,5,0,10,0,0,53.05
2022-09-01T08:00:00.000,671.46,0,101.21,0,0,5,0,10,0,0,101.21
2022-09-01T09:00:00.000,671.34,0,150.88,0,0,5,0,10,0,0,150.88
2022-09-01T10:00:00.000,618.6,0,192.69,-5.6843419e-14,0,5,0,10,0,-5.6843419e-14,192.69
2022-09-01T11:00:00.000,587.13,0,201.12,0,0,5,0,10,0,0,201.12
2022-09-01T12:00:00.000,609.14,0,204.11,0,0,5,0,10,0,0,204.11
2022-09-01T13:00:00.000,603.56,0,195.02,0,0,5,0,10,0,0,195.02
2022-09-01T14:00:00.000,605.53,0,164.42,0,0,5,0,10,0,0,164.42
2022-09-01T15:00:00.000,609.16,0,124.89,0,0,5,0,10,0,0,124.89
2022-09-01T16:00:00.000,627.37,0,86.13,0,0,5,0,10,0,0,86.13
2022-09-01T17:00:00.000,621.05,0,42.69,0,0,5,0,10,0,0,42.69
2022-09-01T18:00:00.000,661.21,0,9.07,0,0,5,0,9.07,0,0,9.07
2022-09-01T19:00:00.000,692.86,0,0.19,0,0,5,0,0.19,0,0,0.19
2022-09-01T20:00:00.000,736.23,0,0,0,0,5,0,0,0,0,0
2022-09-01T21:00:00.000,711.29,0,0,0,0,5,0,0,0,0,0
2022-09-01T22:00:00.000,644.17,0,0,0,0,5,0,0,0,0,0
2022-09-01T23:00:00.000,575.32,0,0,0,0,5,0,0,0,0,0
2022-09-02T00:00:00.000,501.68,0,0,0,0,5,0,0,0,0,0
2022-09-02T01:00:00.000,456.05,0,0,0,0,5,0,0,0,0,0
2022-09-02T02:00:00.000,408.69,0,0,0,0,5,0,0,0,0,0
2022-09-02T03:00:00.000,385.86,0,0,0,0,5,0,0,0,0,0
2022-09-02T04:00:00.000,353.97,0,0,0,0,5,0,0,0,0,0
2022-09-02T05:00:00.000,391.73,0,1.29,0,0,5,0,1.29,0,0,1.29
2022-09-02T06:00:00.000,445.42,0,18.03,0,0,5,0,10,0,0,18.03
2022-09-02T07:00:00.000,532.14,0,73.72,0,0,5,0,10,0,0,73.72
2022-09-02T08:00:00.000,566.1,0,148.33,0,0,5,0,10,0,0,148.33
2022-09-02T09:00:00.000,582.63,0,210.32,0,0,5,0,10,0,0,210.32
2022-09-02T10:00:00.000,529.89,0,245.14,0,0,5,0,10,0,0,245.14
2022-09-02T11:00:00.000,497.53,0,258.65,0,0,5,0,10,0,0,258.65
2022-09-02T12:00:00.000,477.64,0,248.01,0,0,5,0,10,0,0,248.01
2022-09-02T13:00:00.000,410.59,0,204.68,0,0,5,0,10,0,0,204.68
2022-09-02T14:00:00.000,415.04,0,171.78,0,0,5,0,10,0,0,171.78
2022-09-02T15:00:00.000,399.67,0,132.3,0,0,5,0,10,0,0,132.3
2022-09-02T16:00:00.000,445.81,0,82.22,0,0,5,0,10,0,0,82.22
2022-09-02T17:00:00.000,463.94,0,44.97,0,0,5,0,10,0,0,44.97
2022-09-02T18:00:00.000,527.58,0,8.88,0,0,5,0,8.88,0,0,8.88
2022-09-02T19:00:00.000,552.92,0,0.14,0,0,5,0,0.14,0,0,0.14
2022-09-02T20:00:00.000,602.72,0,0,0,0,5,0,0,0,0,0
2022-09-02T21:00:00.000,558.92,0,0,0,0,5,0,0,0,0,0
2022-09-02T22:00:00.000,400.06,0,0,0,0,5,0,0,0,0,0
2022-09-02T23:00:00.000,350.2,0,0,0,0,5,0,0,0,0,0
2022-09-03T00:00:00.000,189.29,0,0,0,0,5,0,0,0,0,0
2022-09-03T01:00:00.000,268.83,0,0,0,0,5,0,0,0,0,0
2022-09-03T02:00:00.000,218.98,0,0,0,0,5,0,0,0,0,0
2022-09-03T03:00:00.000,250,0,0,0,0,5,0,0,0,0,0
2022-09-03T04:00:00.000,250.03,0,0,0,0,5,0,0,0,0,0
2022-09-03T05:00:00.000,243.33,0,1.1,0,0,5,0,1.1,0,0,1.1
2022-09-03T06:00:00.000,291.67,0,17.05,0,0,5,0,10,0,0,17.05
2022-09-03T07:00:00.000,275,0,54.07,0,0,5,0,10,0,0,54.07
2022-09-03T08:00:00.000,370.08,0,110.56,0,0,5,0,10,0,0,110.56
2022-09-03T09:00:00.000,400.57,0,146.14,0,0,5,0,10,0,0,146.14
2022-09-03T10:00:00.000,369.58,0,165.65,0,0,5,0,10,0,0,165.65
2022-09-03T11:00:00.000,201.77,0,182.92,0,0,5,0,10,0,0,182.92
2022-09-03T12:00:00.000,128.28,0,198.44,0,0,5,0,10,0,0,198.44
2022-09-03T13:00:00.000,110.49,0,190.46,0,0,5,0,10,0,0,190.46
2022-09-03T14:00:00.000,113.17,0,172.57,0,0,5,0,10,0,0,172.57
2022-09-03T15:00:00.000,112.54,0,121.44,0,0,5,0,10,0,0,121.44
2022-09-03T16:00:00.000,161.95,0,79.52,0,0,5,0,10,0,0,79.52
2022-09-03T17:00:00.000,240.01,0,36.47,0,0,5,0,10,0,0,36.47
2022-09-03T18:00:00.000,295.79,0,7.02,0,0,5,0,7.02,0,0,7.02
2022-09-03T19:00:00.000,453.63,0,0.06,0,0,5,0,0.06,0,0,0.06
2022-09-03T20:00:00.000,530,0,0,0,0,5,0,0,0,0,0
2022-09-03T21:00:00.000,508.82,0,0,0,0,5,0,0,0,0,0
2022-09-03T22:00:00.000,404.66,0,0,0,0,5,0,0,0,0,0
2022-09-03T23:00:00.000,374.35,0,0,0,0,5,0,0,0,0,0
2022-09-04T00:00:00.000,308.04,0,0,0,0,5,0,0,0,0,0
2022-09-04T01:00:00.000,208.01,0,0,0,0,5,0,0,0,0,0
2022-09-04T02:00:00.000,115.27,0,0,0,0,5,0,0,0,0,0
2022-09-04T03:00:00.000,90.07,0,0,0,0,5,0,0,0,0,0
2022-09-04T04:00:00.000,90.05,0,0,0,0,5,0,0,0,0,0
2022-09-04T05:00:00.000,90.07,0,1.06,0,0,5,0,1.06,0,0,1.06
2022-09-04T06:00:00.000,167.64,0,18.11,0,0,5,0,10,0,0,18.11
2022-09-04T07:00:00.000,211.07,0,75.14,0,0,5,0,10,0,0,75.14
2022-09-04T08:00:00.000,226.39,0,158.43,0,0,5,0,10,0,0,158.43
2022-09-04T09:00:00.000,209.95,0,224.78,0,0,5,0,10,0,0,224.78
2022-09-04T10:00:00.000,179.31,0,255.75,0,0,5,0,10,0,0,255.75
2022-09-04T11:00:00.000,114.84,0,260.1,0,0,5,0,10,0,0,260.1
2022-09-04T12:00:00.000,92.41,0,228.81,0,0,5,0,10,0,0,228.81
2022-09-04T13:00:00.000,99.95,0,196.52,0,0,5,0,10,0,0,196.52
2022-09-04T14:00:00.000,100.01,0,158.61,0,0,5,0,10,0,0,158.61
2022-09-04T15:00:00.000,110.38,0,127.41,0,0,5,0,10,0,0,127.41
2022-09-04T16:00:00.000,116.52,0,95.87,0,0,5,0,10,0,0,95.87
2022-09-04T17:00:00.000,232.25,0,45.8,0,0,5,0,10,0,0,45.8
2022-09-04T18:00:00.000,375,0,7.58,0,0,5,0,7.58,0,0,7.58
2022-09-04T19:00:00.000,455.47,0,0.06,0,0,5,0,0.06,0,0,0.06
2022-09-04T20:00:00.000,509.93,0,0,0,0,5,0,0,0,0,0
2022-09-04T21:00:00.000,509.93,0,0,0,0,5,0,0,0,0,0
2022-09-04T22:00:00.000,445,0,0,0,0,5,0,0,0,0,0
2022-09-04T23:00:00.000,409.67,0,0,0,0,5,0,0,0,0,0
2022-09-05T00:00:00.000,240.71,0,0,0,0,5,0,0,0,0,0
2022-09-05T01:00:00.000,182.91,0,0,0,0,5,0,0,0,0,0
2022-09-05T02:00:00.000,182.99,0,0,0,0,5,0,0,0,0,0
2022-09-05T03:00:00.000,191.53,0,0,0,0,5,0,0,0,0,0
2022-09-05T04:00:00.000,210,0,0,0,0,5,0,0,0,0,0
2022-09-05T05:00:00.000,239.33,0,0.91,0,0,5,0,0.91,0,0,0.91
2022-09-05T06:00:00.000,367.52,0,17.34,0,0,5,0,10,0,0,17.34
2022-09-05T07:00:00.000,459.9,0,70.21,-1.4210855e-14,0,5,0,10,0,-1.4210855e-14,70.21
2022-09-05T08:00:00.000,506.5,0,145.73,0,0,5,0,10,0,0,145.73
2022-09-05T09:00:00.000,519.93,0,206.52,0,0,5,0,10,0,0,206.52
2022-09-05T10:00:00.000,478.92,0,223.12,0,0,5,0,10,0,0,223.12
2022-09-05T11:00:00.000,431.66,0,229.19,0,0,5,0,10,0,0,229.19
2022-09-05T12:00:00.000,387.98,0,213.49,0,0,5,0,10,0,0,213.49
2022-09-05T13:00:00.000,379.64,0,199.49,0,0,5,0,10,0,0,199.49
2022-09-05T14:00:00.000,343.62,0,184.59,0,0,5,0,10,0,0,184.59
2022-09-05T15:00:00.000,293.05,0,149.77,0,0,5,0,10,0,0,149.77
2022-09-05T16:00:00.000,379.62,0,92.42,0,0,5,0,10,0,0,92.42
2022-09-05T17:00:00.000,391.8,0,39.45,0,0,5,0,10,0,0,39.45
2022-09-05T18:00:00.000,487.05,0,6.74,0,0,5,0,6.74,0,0,6.74
