timestamp,P_ren_grid,price,load,gen_ren,P_ch,P_dis,SoC,P_grid_buy,P_grid_sell,P_ren_load,P_ren_ch
2022-09-01T01:00:00.000,0,309.99,0,0,0,0,5,0,0,0,0
2022-09-01T02:00:00.000,0,309.93,0,0,0,0,5,0,0,0,0
2022-09-01T03:00:00.000,0,309.91,0,0,0,0,5,0,0,0,0
2022-09-01T04:00:00.000,0,176.93,0,0,0,0,5,0,0,0,0
2022-09-01T05:00:00.000,0,309.97,0,0,0,0,5,0,0,0,0
2022-09-01T06:00:00.000,0,532.8,0,0,0,0,5,0,0,0,0
2022-09-01T07:00:00.000,0,646.7,0,0,0,0,5,0,0,0,0
2022-09-01T08:00:00.000,0,671.46,0,0,0,0,5,0,0,0,0
2022-09-01T09:00:00.000,0,671.34,0,0,0,0,5,0,0,0,0
2022-09-01T10:00:00.000,0,618.6,0,0,0,0,5,0,0,0,0
2022-09-01T11:00:00.000,0,587.13,0,0,0,0,5,0,0,0,0
2022-09-01T12:00:00.000,0,609.14,0,0,0,0,5,0,0,0,0
2022-09-01T13:00:00.000,0,603.56,0,0,0,0,5,0,0,0,0
2022-09-01T14:00:00.000,0,605.53,0,0,0,0,5,0,0,0,0
2022-09-01T15:00:00.000,0,609.16,0,0,0,0,5,0,0,0,0
2022-09-01T16:00:00.000,0,627.37,0,0,0,0,5,0,0,0,0
2022-09-01T17:00:00.000,0,621.05,0,0,0,0,5,0,0,0,0
2022-09-01T18:00:00.000,0,661.21,0,0,0,0,5,0,0,0,0
2022-09-01T19:00:00.000,0,692.86,0,0,0,0,5,0,0,0,0
2022-09-01T20:00:00.000,0,736.23,0,0,0,0,5,0,0,0,0
2022-09-01T21:00:00.000,0,711.29,0,0,0,0,5,0,0,0,0
2022-09-01T22:00:00.000,0,644.17,0,0,0,0,5,0,0,0,0
2022-09-01T23:00:00.000,0,575.32,0,0,0,0,5,0,0,0,0
2022-09-02T00:00:00.000,0,501.68,0,0,0,0,5,0,0,0,0
2022-09-02T01:00:00.000,0,456.05,0,0,0,0,5,0,0,0,0
2022-09-02T02:00:00.000,0,408.69,0,0,0,0,5,0,0,0,0
2022-09-02T03:00:00.000,0,385.86,0,0,0,0,5,0,0,0,0
2022-09-02T04:00:00.000,0,353.97,0,0,0,0,5,0,0,0,0
2022-09-02T05:00:00.000,0,391.73,0,0,0,0,5,0,0,0,0
2022-09-02T06:00:00.000,0,445.42,0,0,0,0,5,0,0,0,0
2022-09-02T07:00:00.000,0,532.14,0,0,0,0,5,0,0,0,0
2022-09-02T08:00:00.000,0,566.1,0,0,0,0,5,0,0,0,0
2022-09-02T09:00:00.000,0,582.63,0,0,0,0,5,0,0,0,0
2022-09-02T10:00:00.000,0,529.89,0,0,0,0,5,0,0,0,0
2022-09-02T11:00:00.000,0,497.53,0,0,0,0,5,0,0,0,0
2022-09-02T12:00:00.000,0,477.64,0,0,0,0,5,0,0,0,0
2022-09-02T13:00:00.000,0,410.59,0,0,0,0,5,0,0,0,0
2022-09-02T14:00:00.000,0,415.04,0,0,0,0,5,0,0,0,0
2022-09-02T15:00:00.000,0,399.67,0,0,0,0,5,0,0,0,0
2022-09-02T16:00:00.000,0,445.81,0,0,0,0,5,0,0,0,0
2022-09-02T17:00:00.000,0,463.94,0,0,0,0,5,0,0,0,0
2022-09-02T18:00:00.000,0,527.58,0,0,0,0,5,0,0,0,0
2022-09-02T19:00:00.000,0,552.92,0,0,0,0,5,0,0,0,0
2022-09-02T20:00:00.000,0,602.72,0,0,0,0,5,0,0,0,0
2022-09-02T21:00:00.000,0,558.92,0,0,0,0,5,0,0,0,0
2022-09-02T22:00:00.000,0,400.06,0,0,0,0,5,0,0,0,0
2022-09-02T23:00:00.000,0,350.2,0,0,0,0,5,0,0,0,0
2022-09-03T00:00:00.000,0,189.29,0,0,0,0,5,0,0,0,0
2022-09-03T01:00:00.000,0,268.83,0,0,0,0,5,0,0,0,0
2022-09-03T02:00:00.000,0,218.98,0,0,0,0,5,0,0,0,0
2022-09-03T03:00:00.000,0,250,0,0,0,0,5,0,0,0,0
2022-09-03T04:00:00.000,0,250.03,0,0,0,0,5,0,0,0,0
2022-09-03T05:00:00.000,0,243.33,0,0,0,0,5,0,0,0,0
2022-09-03T06:00:00.000,0,291.67,0,0,0,0,5,0,0,0,0
2022-09-03T07:00:00.000,0,275,0,0,0,0,5,0,0,0,0
2022-09-03T08:00:00.000,0,370.08,0,0,0,0,5,0,0,0,0
2022-09-03T09:00:00.000,0,400.57,0,0,0,0,5,0,0,0,0
2022-09-03T10:00:00.000,0,369.58,0,0,0,0,5,0,0,0,0
2022-09-03T11:00:00.000,0,201.77,0,0,0,0,5,0,0,0,0
2022-09-03T12:00:00.000,0,128.28,0,0,0,0,5,0,0,0,0
2022-09-03T13:00:00.000,0,110.49,0,0,0,0,5,0,0,0,0
2022-09-03T14:00:00.000,0,113.17,0,0,0,0,5,0,0,0,0
2022-09-03T15:00:00.000,0,112.54,0,0,0,0,5,0,0,0,0
2022-09-03T16:00:00.000,0,161.95,0,0,0,0,5,0,0,0,0
2022-09-03T17:00:00.000,0,240.01,0,0,0,0,5,0,0,0,0
2022-09-03T18:00:00.000,0,295.79,0,0,0,0,5,0,0,0,0
2022-09-03T19:00:00.000,0,453.63,0,0,0,0,5,0,0,0,0
2022-09-03T20:00:00.000,0,530,0,0,0,0,5,0,0,0,0
2022-09-03T21:00:00.000,0,508.82,0,0,0,0,5,0,0,0,0
2022-09-03T22:00:00.000,0,404.66,0,0,0,0,5,0,0,0,0
2022-09-03T23:00:00.000,0,374.35,0,0,0,0,5,0,0,0,0
2022-09-04T00:00:00.000,0,308.04,0,0,0,0,5,0,0,0,0
2022-09-04T01:00:00.000,0,208.01,0,0,0,0,5,0,0,0,0
2022-09-04T02:00:00.000,0,115.27,0,0,0,0,5,0,0,0,0
2022-09-04T03:00:00.000,0,90.07,0,0,0,0,5,0,0,0,0
2022-09-04T04:00:00.000,0,90.05,0,0,0,0,5,0,0,0,0
2022-09-04T05:00:00.000,0,90.07,0,0,0,0,5,0,0,0,0
2022-09-04T06:00:00.000,0,167.64,0,0,0,0,5,0,0,0,0
2022-09-04T07:00:00.000,0,211.07,0,0,0,0,5,0,0,0,0
2022-09-04T08:00:00.000,0,226.39,0,0,0,0,5,0,0,0,0
2022-09-04T09:00:00.000,0,209.95,0,0,0,0,5,0,0,0,0
2022-09-04T10:00:00.000,0,179.31,0,0,0,0,5,0,0,0,0
2022-09-04T11:00:00.000,0,114.84,0,0,0,0,5,0,0,0,0
2022-09-04T12:00:00.000,0,92.41,0,0,0,0,5,0,0,0,0
2022-09-04T13:00:00.000,0,99.95,0,0,0,0,5,0,0,0,0
2022-09-04T14:00:00.000,0,100.01,0,0,0,0,5,0,0,0,0
2022-09-04T15:00:00.000,0,110.38,0,0,0,0,5,0,0,0,0
2022-09-04T16:00:00.000,0,116.52,0,0,0,0,5,0,0,0,0
2022-09-04T17:00:00.000,0,232.25,0,0,0,0,5,0,0,0,0
2022-09-04T18:00:00.000,0,375,0,0,0,0,5,0,0,0,0
2022-09-04T19:00:00.000,0,455.47,0,0,0,0,5,0,0,0,0
2022-09-04T20:00:00.000,0,509.93,0,0,0,0,5,0,0,0,0
2022-09-04T21:00:00.000,0,509.93,0,0,0,0,5,0,0,0,0
2022-09-04T22:00:00.000,0,445,0,0,0,0,5,0,0,0,0
2022-09-04T23:00:00.000,0,409.67,0,0,0,0,5,0,0,0,0
2022-09-05T00:00:00.000,0,240.71,0,0,0,0,5,0,0,0,0
2022-09-05T01:00:00.000,0,182.91,0,0,0,0,5,0,0,0,0
2022-09-05T02:00:00.000,0,182.99,0,0,0,0,5,0,0,0,0
2022-09-05T03:00:00.000,0,191.53,0,0,0,0,5,0,0,0,0
2022-09-05T04:00:00.000,0,210,0,0,0,0,5,0,0,0,0
2022-09-05T05:00:00.000,0,239.33,0,0,0,0,5,0,0,0,0
2022-09-05T06:00:00.000,0,367.52,0,0,0,0,5,0,0,0,0
2022-09-05T07:00:00.000,0,459.9,0,0,0,0,5,0,0,0,0
2022-09-05T08:00:00.000,0,506.5,0,0,0,0,5,0,0,0,0
2022-09-05T09:00:00.000,0,519.93,0,0,0,0,5,0,0,0,0
2022-09-05T10:00:00.000,0,478.92,0,0,0,0,5,0,0,0,0
2022-09-05T11:00:00.000,0,431.66,0,0,0,0,5,0,0,0,0
2022-09-05T12:00:00.000,0,387.98,0,0,0,0,5,0,0,0,0
2022-09-05T13:00:00.000,0,379.64,0,0,0,0,5,0,0,0,0
2022-09-05T14:00:00.000,0,343.62,0,0,0,0,5,0,0,0,0
2022-09-05T15:00:00.000,0,293.05,0,0,0,0,5,0,0,0,0
2022-09-05T16:00:00.000,0,379.62,0,0,0,0,5,0,0,0,0
2022-09-05T17:00:00.000,0,391.8,0,0,0,0,5,0,0,0,0
2022-09-05T18:00:00.000,0,487.05,0,0,0,0,5,0,0,0,0
2022-09-05T19:00:00.000,0,549.9,0,0,0,0,5,0,0,0,0
2022-09-05T20:00:00.000,0,582.97,0,0,0,0,5,0,0,0,0
2022-09-05T21:00:00.000,0,506.82,0,0,0,0,5,0,0,0,0
2022-09-05T22:00:00.000,0,410.06,0,0,0,0,5,0,0,0,0
2022-09-05T23:00:00.000,0,268.44,0,0,0,0,5,0,0,0,0
2022-09-06T00:00:00.000,0,147.97,0,0,0,0,5,0,0,0,0
2022-09-06T01:00:00.000,0,55.74,0,0,0,0,5,0,0,0,0
2022-09-06T02:00:00.000,0,59.49,0,0,0,0,5,0,0,0,0
2022-09-06T03:00:00.000,0,136.93,0,0,0,0,5,0,0,0,0
2022-09-06T04:00:00.000,0,137.09,0,0,0,0,5,0,0,0,0
2022-09-06T05:00:00.000,0,74.69,0,0,0,0,5,0,0,0,0
2022-09-06T06:00:00.000,0,169.91,0,0,0,0,5,0,0,0,0
2022-09-06T07:00:00.000,0,425.01,0,0,0,0,5,0,0,0,0
2022-09-06T08:00:00.000,0,525.05,0,0,0,0,5,0,0,0,0
2022-09-06T09:00:00.000,0,548.26,0,0,0,0,5,0,0,0,0
2022-09-06T10:00:00.000,0,466.98,0,0,0,0,5,0,0,0,0
2022-09-06T11:00:00.000,0,431.07,0,0,0,0,5,0,0,0,0
2022-09-06T12:00:00.000,0,304.49,0,0,0,0,5,0,0,0,0
2022-09-06T13:00:00.000,0,255.17,0,0,0,0,5,0,0,0,0
2022-09-06T14:00:00.000,0,267.1,0,0,0,0,5,0,0,0,0
2022-09-06T15:00:00.000,0,274.92,0,0,0,0,5,0,0,0,0
2022-09-06T16:00:00.000,0,355.23,0,0,0,0,5,0,0,0,0
2022-09-06T17:00:00.000,0,416.16,0,0,0,0,5,0,0,0,0
2022-09-06T18:00:00.000,0,449.94,0,0,0,0,5,0,0,0,0
2022-09-06T19:00:00.000,0,529.93,0,0,0,0,5,0,0,0,0
2022-09-06T20:00:00.000,0,553.08,0,0,0,0,5,0,0,0,0
2022-09-06T21:00:00.000,0,539.93,0,0,0,0,5,0,0,0,0
2022-09-06T22:00:00.000,0,463.26,0,0,0,0,5,0,0,0,0
2022-09-06T23:00:00.000,0,338.81,0,0,0,0,5,0,0,0,0
2022-09-07T00:00:00.000,0,245.01,0,0,0,0,5,0,0,0,0
2022-09-07T01:00:00.000,0,415.26,0,0,0,0,5,0,0,0,0
2022-09-07T02:00:00.000,0,332.58,0,0,0,0,5,0,0,0,0
2022-09-07T03:00:00.000,0,219.05,0,0,0,0,5,0,0,0,0
2022-09-07T04:00:00.000,0,337.11,0,0,0,0,5,0,0,0,0
2022-09-07T05:00:00.000,0,328.3,0,0,0,0,5,0,0,0,0
2022-09-07T06:00:00.000,0,324.2,0,0,0,0,5,0,0,0,0
2022-09-07T07:00:00.000,0,484.68,0,0,0,0,5,0,0,0,0
2022-09-07T08:00:00.000,0,519.9,0,0,0,0,5,0,0,0,0
2022-09-07T09:00:00.000,0,524.77,0,0,0,0,5,0,0,0,0
2022-09-07T10:00:00.000,0,501.2,0,0,0,0,5,0,0,0,0
2022-09-07T11:00:00.000,0,480.86,0,0,0,0,5,0,0,0,0
2022-09-07T12:00:00.000,0,458.13,0,0,0,0,5,0,0,0,0
2022-09-07T13:00:00.000,0,423.63,0,0,0,0,5,0,0,0,0
2022-09-07T14:00:00.000,0,417.8,0,0,0,0,5,0,0,0,0
2022-09-07T15:00:00.000,0,422.82,0,0,0,0,5,0,0,0,0
2022-09-07T16:00:00.000,0,425.02,0,0,0,0,5,0,0,0,0
2022-09-07T17:00:00.000,0,434.64,0,0,0,0,5,0,0,0,0
2022-09-07T18:00:00.000,0,508.47,0,0,0,0,5,0,0,0,0
2022-09-07T19:00:00.000,0,528.37,0,0,0,0,5,0,0,0,0
2022-09-07T20:00:00.000,0,550.01,0,0,0,0,5,0,0,0,0
2022-09-07T21:00:00.000,0,501.8,0,0,0,0,5,0,0,0,0
2022-09-07T22:00:00.000,0,400.05,0,0,0,0,5,0,0,0,0
2022-09-07T23:00:00.000,0,487.01,0,0,0,0,5,0,0,0,0
2022-09-08T00:00:00.000,0,439.81,0,0,0,0,5,0,0,0,0
2022-09-08T01:00:00.000,0,92.85,0,0,0,0,5,0,0,0,0
2022-09-08T02:00:00.000,0,126.03,0,0,0,0,5,0,0,0,0
2022-09-08T03:00:00.000,0,120.06,0,0,0,0,5,0,0,0,0
2022-09-08T04:00:00.000,0,123.21,0,0,0,0,5,0,0,0,0
2022-09-08T05:00:00.000,0,190.56,0,0,0,0,5,0,0,0,0
2022-09-08T06:00:00.000,0,404.13,0,0,0,0,5,0,0,0,0
2022-09-08T07:00:00.000,0,502.01,0,0,0,0,5,0,0,0,0
2022-09-08T08:00:00.000,0,520,0,0,0,0,5,0,0,0,0
2022-09-08T09:00:00.000,0,524.06,0,0,0,0,5,0,0,0,0
2022-09-08T10:00:00.000,0,510.57,0,0,0,0,5,0,0,0,0
2022-09-08T11:00:00.000,0,485.54,0,0,0,0,5,0,0,0,0
2022-09-08T12:00:00.000,0,300.08,0,0,0,0,5,0,0,0,0
2022-09-08T13:00:00.000,0,287.3,0,0,0,0,5,0,0,0,0
2022-09-08T14:00:00.000,0,266.94,0,0,0,0,5,0,0,0,0
2022-09-08T15:00:00.000,0,219.04,0,0,0,0,5,0,0,0,0
2022-09-08T16:00:00.000,0,248.34,0,0,0,0,5,0,0,0,0
2022-09-08T17:00:00.000,0,289.33,0,0,0,0,5,0,0,0,0
2022-09-08T18:00:00.000,0,439.34,0,0,0,0,5,0,0,0,0
2022-09-08T19:00:00.000,0,504.91,0,0,0,0,5,0,0,0,0
2022-09-08T20:00:00.000,0,479.97,0,0,0,0,5,0,0,0,0
2022-09-08T21:00:00.000,0,511.67,0,0,0,0,5,0,0,0,0
2022-09-08T22:00:00.000,0,360.01,0,0,0,0,5,0,0,0,0
2022-09-08T23:00:00.000,0,163.91,0,0,0,0,5,0,0,0,0
2022-09-09T00:00:00.000,0,85.81,0,0,0,0,5,0,0,0,0
2022-09-09T01:00:00.000,0,300.01,0,0,0,0,5,0,0,0,0
2022-09-09T02:00:00.000,0,238.2,0,0,0,0,5,0,0,0,0
2022-09-09T03:00:00.000,0,112.05,0,0,0,0,5,0,0,0,0
2022-09-09T04:00:00.000,0,105.69,0,0,0,0,5,0,0,0,0
2022-09-09T05:00:00.000,0,226.87,0,0,0,0,5,0,0,0,0
2022-09-09T06:00:00.000,0,278.7,0,0,0,0,5,0,0,0,0
2022-09-09T07:00:00.000,0,303.89,0,0,0,0,5,0,0,0,0
2022-09-09T08:00:00.000,0,379.41,0,0,0,0,5,0,0,0,0
2022-09-09T09:00:00.000,0,392.1,0,0,0,0,5,0,0,0,0
2022-09-09T10:00:00.000,0,366.97,0,0,0,0,5,0,0,0,0
2022-09-09T11:00:00.000,0,344.6,0,0,0,0,5,0,0,0,0
2022-09-09T12:00:00.000,0,321.95,0,0,0,0,5,0,0,0,0
2022-09-09T13:00:00.000,0,296.52,0,0,0,0,5,0,0,0,0
2022-09-09T14:00:00.000,0,279.06,0,0,0,0,5,0,0,0,0
2022-09-09T15:00:00.000,0,250.27,0,0,0,0,5,0,0,0,0
2022-09-09T16:00:00.000,0,258.29,0,0,0,0,5,0,0,0,0
2022-09-09T17:00:00.000,0,262.78,0,0,0,0,5,0,0,0,0
2022-09-09T18:00:00.000,0,315.46,0,0,0,0,5,0,0,0,0
2022-09-09T19:00:00.000,0,449.45,0,0,0,0,5,0,0,0,0
2022-09-09T20:00:00.000,0,462.98,0,0,0,0,5,0,0,0,0
2022-09-09T21:00:00.000,0,429.26,0,0,0,0,5,0,0,0,0
