PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.9474,0.0
2020-06-01 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.7591,0.0
2020-06-01 02:00:00,Kauno regiono tinklas,Namas,G,137830,0.9466,0.0
2020-06-01 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.7272,0.0
2020-06-01 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.6547,0.0
2020-06-01 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.5569,0.0047
2020-06-01 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.1739,0.2385
2020-06-01 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.5194,0.8333
2020-06-01 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.8538,1.4905
2020-06-01 09:00:00,Kauno regiono tinklas,Namas,G,137830,0.7848,2.6059
2020-06-01 10:00:00,Kauno regiono tinklas,Namas,G,137830,0.348,3.5461
2020-06-01 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.2687,4.5079
2020-06-01 12:00:00,Kauno regiono tinklas,Namas,G,137830,1.1406,4.6057
2020-06-01 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.0213,5.61
2020-06-01 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.2883,4.461
2020-06-01 15:00:00,Kauno regiono tinklas,Namas,G,137830,0.52,3.2615
2020-06-01 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.5133,2.7879
2020-06-01 17:00:00,Kauno regiono tinklas,Namas,G,137830,0.9667,1.3909
2020-06-01 18:00:00,Kauno regiono tinklas,Namas,G,137830,1.5452,0.1891
2020-06-01 19:00:00,Kauno regiono tinklas,Namas,G,137830,1.6346,0.0
2020-06-01 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.417,0.0
2020-06-01 21:00:00,Kauno regiono tinklas,Namas,G,137830,1.1975,0.0
2020-06-01 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.1366,0.0
2020-06-01 23:00:00,Kauno regiono tinklas,Namas,G,137830,1.1308,0.0
2020-06-02 00:00:00,Kauno regiono tinklas,Namas,G,137830,1.0106,0.0
2020-06-02 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.6926,0.0
2020-06-02 02:00:00,Kauno regiono tinklas,Namas,G,137830,0.9754,0.0
2020-06-02 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.6763,0.0
2020-06-02 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.612,0.0
2020-06-02 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.5308,0.0024
2020-06-02 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.2578,0.1974
2020-06-02 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.823,0.9457
2020-06-02 08:00:00,Kauno regiono tinklas,Namas,G,137830,1.1932,1.667
2020-06-02 09:00:00,Kauno regiono tinklas,Namas,G,137830,2.0505,2.5122
2020-06-02 10:00:00,Kauno regiono tinklas,Namas,G,137830,0.094,3.2742
2020-06-02 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.402,3.6336
2020-06-02 12:00:00,Kauno regiono tinklas,Namas,G,137830,0.4525,4.012
2020-06-02 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.2552,4.4498
2020-06-02 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.0453,4.8101
2020-06-02 15:00:00,Kauno regiono tinklas,Namas,G,137830,0.1797,4.1762
2020-06-02 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.1704,3.5781
2020-06-02 17:00:00,Kauno regiono tinklas,Namas,G,137830,0.2734,2.6444
2020-06-02 18:00:00,Kauno regiono tinklas,Namas,G,137830,1.1451,0.4312
2020-06-02 19:00:00,Kauno regiono tinklas,Namas,G,137830,1.5461,0.0123
2020-06-02 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.5254,0.0004
2020-06-02 21:00:00,Kauno regiono tinklas,Namas,G,137830,1.1224,0.0
2020-06-02 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.1382,0.0
2020-06-02 23:00:00,Kauno regiono tinklas,Namas,G,137830,1.1285,0.0
2020-06-03 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.852,0.0
2020-06-03 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.8667,0.0
2020-06-03 02:00:00,Kauno regiono tinklas,Namas,G,137830,0.8596,0.0
2020-06-03 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.6119,0.0
2020-06-03 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.6972,0.0
2020-06-03 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.6825,0.0001
2020-06-03 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.6429,0.0122
2020-06-03 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.32,0.1162
2020-06-03 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.9823,0.3568
2020-06-03 09:00:00,Kauno regiono tinklas,Namas,G,137830,1.4332,0.1045
2020-06-03 10:00:00,Kauno regiono tinklas,Namas,G,137830,3.2151,0.4093
2020-06-03 11:00:00,Kauno regiono tinklas,Namas,G,137830,2.5155,0.7081
2020-06-03 12:00:00,Kauno regiono tinklas,Namas,G,137830,0.942,1.6664
2020-06-03 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.7396,3.218
2020-06-03 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.9947,1.6349
2020-06-03 15:00:00,Kauno regiono tinklas,Namas,G,137830,0.6837,2.7702
2020-06-03 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.121,3.4949
2020-06-03 17:00:00,Kauno regiono tinklas,Namas,G,137830,0.3085,2.1309
2020-06-03 18:00:00,Kauno regiono tinklas,Namas,G,137830,2.2388,0.1946
2020-06-03 19:00:00,Kauno regiono tinklas,Namas,G,137830,1.7304,0.1002
2020-06-03 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.352,0.0
2020-06-03 21:00:00,Kauno regiono tinklas,Namas,G,137830,1.1525,0.0
2020-06-03 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.1288,0.0
2020-06-03 23:00:00,Kauno regiono tinklas,Namas,G,137830,1.0043,0.0
2020-06-04 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.7323,0.0
2020-06-04 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.6707,0.0
2020-06-04 02:00:00,Kauno regiono tinklas,Namas,G,137830,0.8674,0.0
2020-06-04 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.593,0.0
2020-06-04 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.5596,0.0
2020-06-04 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.5247,0.0159
2020-06-04 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.4013,0.2332
2020-06-04 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.1917,0.7013
2020-06-04 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.2253,1.2964
2020-06-04 09:00:00,Kauno regiono tinklas,Namas,G,137830,0.6312,3.0567
2020-06-04 10:00:00,Kauno regiono tinklas,Namas,G,137830,2.0721,0.6271
2020-06-04 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.5638,2.7273
2020-06-04 12:00:00,Kauno regiono tinklas,Namas,G,137830,0.6732,1.5461
2020-06-04 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.2451,3.9374
2020-06-04 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.7042,3.4793
2020-06-04 15:00:00,Kauno regiono tinklas,Namas,G,137830,1.2831,3.2973
2020-06-04 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.3442,2.6536
2020-06-04 17:00:00,Kauno regiono tinklas,Namas,G,137830,1.722,0.2649
2020-06-04 18:00:00,Kauno regiono tinklas,Namas,G,137830,1.2083,0.6084
2020-06-04 19:00:00,Kauno regiono tinklas,Namas,G,137830,1.1726,0.0975
2020-06-04 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.1323,0.0059
2020-06-04 21:00:00,Kauno regiono tinklas,Namas,G,137830,2.0994,0.0
2020-06-04 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.6428,0.0
2020-06-04 23:00:00,Kauno regiono tinklas,Namas,G,137830,1.0019,0.0
2020-06-05 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.9194,0.0
2020-06-05 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.7074,0.0
2020-06-05 02:00:00,Kauno regiono tinklas,Namas,G,137830,0.8971,0.0
2020-06-05 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.6047,0.0
2020-06-05 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.5785,0.0
2020-06-05 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.5084,0.0045
2020-06-05 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.2022,0.2118
2020-06-05 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.0907,1.1307
2020-06-05 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.1648,1.994
2020-06-05 09:00:00,Kauno regiono tinklas,Namas,G,137830,0.9879,2.6216
2020-06-05 10:00:00,Kauno regiono tinklas,Namas,G,137830,0.0102,3.9685
2020-06-05 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.264,3.8528
2020-06-05 12:00:00,Kauno regiono tinklas,Namas,G,137830,0.0367,4.9507
2020-06-05 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.0022,4.8867
2020-06-05 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.004,4.7303
2020-06-05 15:00:00,Kauno regiono tinklas,Namas,G,137830,0.0478,4.6501
2020-06-05 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.0005,3.4927
2020-06-05 17:00:00,Kauno regiono tinklas,Namas,G,137830,0.4807,1.5502
2020-06-05 18:00:00,Kauno regiono tinklas,Namas,G,137830,0.8561,0.4439
2020-06-05 19:00:00,Kauno regiono tinklas,Namas,G,137830,2.0181,0.0066
2020-06-05 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.6886,0.0
2020-06-05 21:00:00,Kauno regiono tinklas,Namas,G,137830,1.2329,0.0
2020-06-05 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.2168,0.0
2020-06-05 23:00:00,Kauno regiono tinklas,Namas,G,137830,1.0467,0.0
2020-06-06 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.7119,0.0
2020-06-06 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.9204,0.0
2020-06-06 02:00:00,Kauno regiono tinklas,Namas,G,137830,1.1767,0.0
2020-06-06 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.8058,0.0
2020-06-06 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.7331,0.0
2020-06-06 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.7155,0.0001
2020-06-06 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.4243,0.0655
2020-06-06 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.0969,0.5234
2020-06-06 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.3128,1.5471
2020-06-06 09:00:00,Kauno regiono tinklas,Namas,G,137830,0.0229,3.582
2020-06-06 10:00:00,Kauno regiono tinklas,Namas,G,137830,0.5159,2.1754
2020-06-06 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.5681,4.0714
2020-06-06 12:00:00,Kauno regiono tinklas,Namas,G,137830,0.6867,2.8417
2020-06-06 13:00:00,Kauno regiono tinklas,Namas,G,137830,0.7657,1.6768
2020-06-06 14:00:00,Kauno regiono tinklas,Namas,G,137830,0.7967,2.2099
2020-06-06 15:00:00,Kauno regiono tinklas,Namas,G,137830,1.3928,3.617
2020-06-06 16:00:00,Kauno regiono tinklas,Namas,G,137830,1.1339,2.2488
2020-06-06 17:00:00,Kauno regiono tinklas,Namas,G,137830,1.7941,1.3627
2020-06-06 18:00:00,Kauno regiono tinklas,Namas,G,137830,0.7023,0.5912
2020-06-06 19:00:00,Kauno regiono tinklas,Namas,G,137830,0.5518,0.1075
2020-06-06 20:00:00,Kauno regiono tinklas,Namas,G,137830,1.7659,0.0225
2020-06-06 21:00:00,Kauno regiono tinklas,Namas,G,137830,1.3511,0.0
2020-06-06 22:00:00,Kauno regiono tinklas,Namas,G,137830,1.0741,0.0
2020-06-06 23:00:00,Kauno regiono tinklas,Namas,G,137830,0.8637,0.0
2020-06-07 00:00:00,Kauno regiono tinklas,Namas,G,137830,0.4861,0.0
2020-06-07 01:00:00,Kauno regiono tinklas,Namas,G,137830,0.7006,0.0
2020-06-07 02:00:00,Kauno regiono tinklas,Namas,G,137830,1.0189,0.0
2020-06-07 03:00:00,Kauno regiono tinklas,Namas,G,137830,0.7936,0.0
2020-06-07 04:00:00,Kauno regiono tinklas,Namas,G,137830,0.6693,0.0
2020-06-07 05:00:00,Kauno regiono tinklas,Namas,G,137830,0.5691,0.0237
2020-06-07 06:00:00,Kauno regiono tinklas,Namas,G,137830,0.4184,0.0904
2020-06-07 07:00:00,Kauno regiono tinklas,Namas,G,137830,0.0617,1.0575
2020-06-07 08:00:00,Kauno regiono tinklas,Namas,G,137830,0.0904,2.3468
2020-06-07 09:00:00,Kauno regiono tinklas,Namas,G,137830,0.0298,3.576
2020-06-07 10:00:00,Kauno regiono tinklas,Namas,G,137830,0.0002,3.6905
2020-06-07 11:00:00,Kauno regiono tinklas,Namas,G,137830,0.5789,3.9074
2020-06-07 12:00:00,Kauno regiono tinklas,Namas,G,137830,1.1145,2.9352
2020-06-07 13:00:00,Kauno regiono tinklas,Namas,G,137830,1.914,1.9206
2020-06-07 14:00:00,Kauno regiono tinklas,Namas,G,137830,1.789,1.6341
2020-06-07 15:00:00,Kauno regiono tinklas,Namas,G,137830,0.8824,2.3158
2020-06-07 16:00:00,Kauno regiono tinklas,Namas,G,137830,0.2957,2.1202
2020-06-07 17:00:00,Kauno regiono tinklas,Namas,G,137830,1.8617,0.0001
