PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Utenos regiono tinklas,Namas,G,395580,0.2084,0.0
2020-06-01 01:00:00,Utenos regiono tinklas,Namas,G,395580,0.2041,0.0
2020-06-01 02:00:00,Utenos regiono tinklas,Namas,G,395580,0.1985,0.0
2020-06-01 03:00:00,Utenos regiono tinklas,Namas,G,395580,0.2013,0.0
2020-06-01 04:00:00,Utenos regiono tinklas,Namas,G,395580,0.202,0.0
2020-06-01 05:00:00,Utenos regiono tinklas,Namas,G,395580,0.1775,0.0004
2020-06-01 06:00:00,Utenos regiono tinklas,Namas,G,395580,0.0586,0.0291
2020-06-01 07:00:00,Utenos regiono tinklas,Namas,G,395580,0.0002,0.4827
2020-06-01 08:00:00,Utenos regiono tinklas,Namas,G,395580,0.0605,1.6106
2020-06-01 09:00:00,Utenos regiono tinklas,Namas,G,395580,0.1987,2.8459
2020-06-01 10:00:00,Utenos regiono tinklas,Namas,G,395580,0.7588,3.0326
2020-06-01 11:00:00,Utenos regiono tinklas,Namas,G,395580,0.1595,4.3261
2020-06-01 12:00:00,Utenos regiono tinklas,Namas,G,395580,0.0,4.8283
2020-06-01 13:00:00,Utenos regiono tinklas,Namas,G,395580,0.0,4.6996
2020-06-01 14:00:00,Utenos regiono tinklas,Namas,G,395580,0.0162,4.1283
2020-06-01 15:00:00,Utenos regiono tinklas,Namas,G,395580,0.0,4.2593
2020-06-01 16:00:00,Utenos regiono tinklas,Namas,G,395580,0.5217,2.5644
2020-06-01 17:00:00,Utenos regiono tinklas,Namas,G,395580,0.0209,2.7186
2020-06-01 18:00:00,Utenos regiono tinklas,Namas,G,395580,0.0001,0.9849
2020-06-01 19:00:00,Utenos regiono tinklas,Namas,G,395580,0.0003,0.3678
2020-06-01 20:00:00,Utenos regiono tinklas,Namas,G,395580,0.0324,0.1375
2020-06-01 21:00:00,Utenos regiono tinklas,Namas,G,395580,0.3665,0.0001
2020-06-01 22:00:00,Utenos regiono tinklas,Namas,G,395580,0.3297,0.0
2020-06-01 23:00:00,Utenos regiono tinklas,Namas,G,395580,0.2275,0.0
