PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.42,0.0
2020-06-01 01:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.2947,0.0
2020-06-01 02:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.3482,0.0
2020-06-01 03:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.3017,0.0
2020-06-01 04:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.3246,0.0
2020-06-01 05:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.1855,0.0133
2020-06-01 06:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.1053,0.096
2020-06-01 07:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0157,0.1939
2020-06-01 08:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.9059,1.2998
2020-06-01 09:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.1198,3.4294
2020-06-01 10:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0001,5.7236
2020-06-01 11:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0144,6.4846
2020-06-01 12:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0116,7.3719
2020-06-01 13:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0,7.9779
2020-06-01 14:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.1183,5.338
2020-06-01 15:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.7519,2.2686
2020-06-01 16:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.3311,0.6039
2020-06-01 17:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0144,0.2707
2020-06-01 18:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.0287,0.2521
2020-06-01 19:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.101,0.3869
2020-06-01 20:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.6195,0.0262
2020-06-01 21:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.6606,0.0
2020-06-01 22:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.4811,0.0
2020-06-01 23:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.4744,0.0
2020-06-02 00:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.4581,0.0
2020-06-02 01:00:00,Panevėžio regiono tinklas,Namas,G,385018,0.3434,0.0
