PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Utenos regiono tinklas,Namas,G,404400,0.0482,0.0
2020-06-01 01:00:00,Utenos regiono tinklas,Namas,G,404400,0.0486,0.0
2020-06-01 02:00:00,Utenos regiono tinklas,Namas,G,404400,0.049,0.0
2020-06-01 03:00:00,Utenos regiono tinklas,Namas,G,404400,0.0539,0.0
2020-06-01 04:00:00,Utenos regiono tinklas,Namas,G,404400,0.1327,0.0
2020-06-01 05:00:00,Utenos regiono tinklas,Namas,G,404400,0.9605,0.0116
2020-06-01 06:00:00,Utenos regiono tinklas,Namas,G,404400,0.7982,0.0674
2020-06-01 07:00:00,Utenos regiono tinklas,Namas,G,404400,0.4045,0.3031
2020-06-01 08:00:00,Utenos regiono tinklas,Namas,G,404400,0.2081,1.0517
2020-06-01 09:00:00,Utenos regiono tinklas,Namas,G,404400,0.2174,1.997
2020-06-01 10:00:00,Utenos regiono tinklas,Namas,G,404400,0.1126,2.6596
2020-06-01 11:00:00,Utenos regiono tinklas,Namas,G,404400,0.0638,3.0972
2020-06-01 12:00:00,Utenos regiono tinklas,Namas,G,404400,0.13,2.9718
2020-06-01 13:00:00,Utenos regiono tinklas,Namas,G,404400,0.1003,3.1073
2020-06-01 14:00:00,Utenos regiono tinklas,Namas,G,404400,0.1086,3.1321
2020-06-01 15:00:00,Utenos regiono tinklas,Namas,G,404400,0.2016,2.4124
2020-06-01 16:00:00,Utenos regiono tinklas,Namas,G,404400,0.1538,1.6832
2020-06-01 17:00:00,Utenos regiono tinklas,Namas,G,404400,0.3754,0.6712
2020-06-01 18:00:00,Utenos regiono tinklas,Namas,G,404400,0.2545,0.3201
2020-06-01 19:00:00,Utenos regiono tinklas,Namas,G,404400,0.4194,0.071
2020-06-01 20:00:00,Utenos regiono tinklas,Namas,G,404400,0.4162,0.0647
2020-06-01 21:00:00,Utenos regiono tinklas,Namas,G,404400,0.2982,0.0028
2020-06-01 22:00:00,Utenos regiono tinklas,Namas,G,404400,0.07,0.0
2020-06-01 23:00:00,Utenos regiono tinklas,Namas,G,404400,0.0489,0.0
2020-06-02 00:00:00,Utenos regiono tinklas,Namas,G,404400,0.0383,0.0
