PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Kauno regiono tinklas,Namas,G,134710,0.4251,0.0
2020-06-01 01:00:00,Kauno regiono tinklas,Namas,G,134710,0.3844,0.0
2020-06-01 02:00:00,Kauno regiono tinklas,Namas,G,134710,0.3607,0.0
2020-06-01 03:00:00,Kauno regiono tinklas,Namas,G,134710,0.3892,0.0
2020-06-01 04:00:00,Kauno regiono tinklas,Namas,G,134710,0.3638,0.0
2020-06-01 05:00:00,Kauno regiono tinklas,Namas,G,134710,0.4385,0.0063
2020-06-01 06:00:00,Kauno regiono tinklas,Namas,G,134710,0.3336,0.031
2020-06-01 07:00:00,Kauno regiono tinklas,Namas,G,134710,0.237,0.0804
2020-06-01 08:00:00,Kauno regiono tinklas,Namas,G,134710,0.0219,0.9002
2020-06-01 09:00:00,Kauno regiono tinklas,Namas,G,134710,0.0001,2.1263
2020-06-01 10:00:00,Kauno regiono tinklas,Namas,G,134710,0.9839,1.9276
2020-06-01 11:00:00,Kauno regiono tinklas,Namas,G,134710,0.8549,2.2941
2020-06-01 12:00:00,Kauno regiono tinklas,Namas,G,134710,0.09,3.8881
2020-06-01 13:00:00,Kauno regiono tinklas,Namas,G,134710,0.0295,4.1665
2020-06-01 14:00:00,Kauno regiono tinklas,Namas,G,134710,0.1179,3.1365
2020-06-01 15:00:00,Kauno regiono tinklas,Namas,G,134710,0.1749,2.331
2020-06-01 16:00:00,Kauno regiono tinklas,Namas,G,134710,0.1003,1.4922
2020-06-01 17:00:00,Kauno regiono tinklas,Namas,G,134710,0.0409,1.5563
2020-06-01 18:00:00,Kauno regiono tinklas,Namas,G,134710,1.3266,0.096
2020-06-01 19:00:00,Kauno regiono tinklas,Namas,G,134710,1.4586,0.0083
2020-06-01 20:00:00,Kauno regiono tinklas,Namas,G,134710,0.4732,0.0006
2020-06-01 21:00:00,Kauno regiono tinklas,Namas,G,134710,0.5093,0.0
2020-06-01 22:00:00,Kauno regiono tinklas,Namas,G,134710,0.4403,0.0
2020-06-01 23:00:00,Kauno regiono tinklas,Namas,G,134710,0.4517,0.0
2020-06-02 00:00:00,Kauno regiono tinklas,Namas,G,134710,0.2357,0.0
2020-06-02 01:00:00,Kauno regiono tinklas,Namas,G,134710,0.454,0.0
2020-06-02 02:00:00,Kauno regiono tinklas,Namas,G,134710,0.4282,0.0
2020-06-02 03:00:00,Kauno regiono tinklas,Namas,G,134710,0.4541,0.0
2020-06-02 04:00:00,Kauno regiono tinklas,Namas,G,134710,0.4299,0.0
2020-06-02 05:00:00,Kauno regiono tinklas,Namas,G,134710,0.511,0.0074
2020-06-02 06:00:00,Kauno regiono tinklas,Namas,G,134710,0.3775,0.0326
2020-06-02 07:00:00,Kauno regiono tinklas,Namas,G,134710,0.3267,0.0656
2020-06-02 08:00:00,Kauno regiono tinklas,Namas,G,134710,0.0225,0.8189
2020-06-02 09:00:00,Kauno regiono tinklas,Namas,G,134710,0.0,1.9783
2020-06-02 10:00:00,Kauno regiono tinklas,Namas,G,134710,1.0009,1.8131
2020-06-02 11:00:00,Kauno regiono tinklas,Namas,G,134710,0.3262,3.0395
2020-06-02 12:00:00,Kauno regiono tinklas,Namas,G,134710,0.1067,2.9914
2020-06-02 13:00:00,Kauno regiono tinklas,Namas,G,134710,0.0008,3.501
2020-06-02 14:00:00,Kauno regiono tinklas,Namas,G,134710,0.1174,3.6859
2020-06-02 15:00:00,Kauno regiono tinklas,Namas,G,134710,0.0001,3.5382
2020-06-02 16:00:00,Kauno regiono tinklas,Namas,G,134710,0.1244,2.7449
2020-06-02 17:00:00,Kauno regiono tinklas,Namas,G,134710,0.0842,1.853
2020-06-02 18:00:00,Kauno regiono tinklas,Namas,G,134710,0.221,0.7572
2020-06-02 19:00:00,Kauno regiono tinklas,Namas,G,134710,0.3137,0.0949
2020-06-02 20:00:00,Kauno regiono tinklas,Namas,G,134710,0.3468,0.0364
2020-06-02 21:00:00,Kauno regiono tinklas,Namas,G,134710,0.8159,0.0052
2020-06-02 22:00:00,Kauno regiono tinklas,Namas,G,134710,1.3178,0.0
2020-06-02 23:00:00,Kauno regiono tinklas,Namas,G,134710,0.1737,0.0
2020-06-03 00:00:00,Kauno regiono tinklas,Namas,G,134710,0.2497,0.0
2020-06-03 01:00:00,Kauno regiono tinklas,Namas,G,134710,0.2025,0.0
2020-06-03 02:00:00,Kauno regiono tinklas,Namas,G,134710,0.2405,0.0
2020-06-03 03:00:00,Kauno regiono tinklas,Namas,G,134710,0.2026,0.0
2020-06-03 04:00:00,Kauno regiono tinklas,Namas,G,134710,0.2457,0.0
2020-06-03 05:00:00,Kauno regiono tinklas,Namas,G,134710,0.3022,0.0009
2020-06-03 06:00:00,Kauno regiono tinklas,Namas,G,134710,0.2564,0.0108
2020-06-03 07:00:00,Kauno regiono tinklas,Namas,G,134710,0.1044,0.1132
