PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Kauno regiono tinklas,Namas,G,138310,0.287,0.0
2020-06-01 01:00:00,Kauno regiono tinklas,Namas,G,138310,0.2472,0.0
2020-06-01 02:00:00,Kauno regiono tinklas,Namas,G,138310,0.2074,0.0
2020-06-01 03:00:00,Kauno regiono tinklas,Namas,G,138310,0.2548,0.0
2020-06-01 04:00:00,Kauno regiono tinklas,Namas,G,138310,0.2032,0.0
2020-06-01 05:00:00,Kauno regiono tinklas,Namas,G,138310,0.1885,0.0049
2020-06-01 06:00:00,Kauno regiono tinklas,Namas,G,138310,0.7654,0.0352
2020-06-01 07:00:00,Kauno regiono tinklas,Namas,G,138310,1.3679,0.1185
2020-06-01 08:00:00,Kauno regiono tinklas,Namas,G,138310,1.4125,0.4046
2020-06-01 09:00:00,Kauno regiono tinklas,Namas,G,138310,0.0393,1.7541
2020-06-01 10:00:00,Kauno regiono tinklas,Namas,G,138310,0.289,3.4714
2020-06-01 11:00:00,Kauno regiono tinklas,Namas,G,138310,0.0003,5.9449
2020-06-01 12:00:00,Kauno regiono tinklas,Namas,G,138310,0.0002,7.2422
2020-06-01 13:00:00,Kauno regiono tinklas,Namas,G,138310,0.0,8.0612
2020-06-01 14:00:00,Kauno regiono tinklas,Namas,G,138310,0.0178,7.8934
2020-06-01 15:00:00,Kauno regiono tinklas,Namas,G,138310,0.0222,7.7138
2020-06-01 16:00:00,Kauno regiono tinklas,Namas,G,138310,0.5694,4.2497
2020-06-01 17:00:00,Kauno regiono tinklas,Namas,G,138310,0.0187,4.3324
2020-06-01 18:00:00,Kauno regiono tinklas,Namas,G,138310,0.6941,0.2615
2020-06-01 19:00:00,Kauno regiono tinklas,Namas,G,138310,0.152,0.0797
2020-06-01 20:00:00,Kauno regiono tinklas,Namas,G,138310,1.5867,0.0251
2020-06-01 21:00:00,Kauno regiono tinklas,Namas,G,138310,2.2693,0.0
2020-06-01 22:00:00,Kauno regiono tinklas,Namas,G,138310,1.4709,0.0
2020-06-01 23:00:00,Kauno regiono tinklas,Namas,G,138310,0.309,0.0
2020-06-02 00:00:00,Kauno regiono tinklas,Namas,G,138310,0.2384,0.0
2020-06-02 01:00:00,Kauno regiono tinklas,Namas,G,138310,0.2623,0.0
2020-06-02 02:00:00,Kauno regiono tinklas,Namas,G,138310,0.2952,0.0
2020-06-02 03:00:00,Kauno regiono tinklas,Namas,G,138310,0.1914,0.0
2020-06-02 04:00:00,Kauno regiono tinklas,Namas,G,138310,0.4756,0.0
2020-06-02 05:00:00,Kauno regiono tinklas,Namas,G,138310,0.7776,0.0052
2020-06-02 06:00:00,Kauno regiono tinklas,Namas,G,138310,0.0744,0.0551
