PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1761,0.0
2020-06-01 01:00:00,Alytaus regiono tinklas,Namas,G,75124,0.2379,0.0
2020-06-01 02:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1738,0.0
2020-06-01 03:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1738,0.0
2020-06-01 04:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1942,0.0
2020-06-01 05:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0801,0.087
2020-06-01 06:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1489,1.195
2020-06-01 07:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0003,2.1992
2020-06-01 08:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0598,3.3167
2020-06-01 09:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0245,3.8309
2020-06-01 10:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0807,3.9801
2020-06-01 11:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0745,3.8826
2020-06-01 12:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1374,3.5546
2020-06-01 13:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1057,2.9536
2020-06-01 14:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0004,2.4529
2020-06-01 15:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0006,1.3002
2020-06-01 16:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0008,0.8561
2020-06-01 17:00:00,Alytaus regiono tinklas,Namas,G,75124,0.017,0.3372
2020-06-01 18:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0027,0.2319
2020-06-01 19:00:00,Alytaus regiono tinklas,Namas,G,75124,0.3098,0.012
2020-06-01 20:00:00,Alytaus regiono tinklas,Namas,G,75124,0.5067,0.0
2020-06-01 21:00:00,Alytaus regiono tinklas,Namas,G,75124,0.362,0.0
2020-06-01 22:00:00,Alytaus regiono tinklas,Namas,G,75124,0.2849,0.0
2020-06-01 23:00:00,Alytaus regiono tinklas,Namas,G,75124,0.2322,0.0
2020-06-02 00:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1906,0.0
2020-06-02 01:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1956,0.0
2020-06-02 02:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1864,0.0
2020-06-02 03:00:00,Alytaus regiono tinklas,Namas,G,75124,0.2151,0.0
2020-06-02 04:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1736,0.0
2020-06-02 05:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0487,0.1257
2020-06-02 06:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1462,1.2062
2020-06-02 07:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1145,2.0609
2020-06-02 08:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0191,3.3801
2020-06-02 09:00:00,Alytaus regiono tinklas,Namas,G,75124,0.1151,3.6083
2020-06-02 10:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0,4.0564
2020-06-02 11:00:00,Alytaus regiono tinklas,Namas,G,75124,0.8697,2.4303
2020-06-02 12:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0397,3.2437
2020-06-02 13:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0996,2.5683
2020-06-02 14:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0716,1.9277
2020-06-02 15:00:00,Alytaus regiono tinklas,Namas,G,75124,0.0003,1.4032
